tag,seed,n_samples,inter_q45_q12,ci_lo_q45,ci_hi_q45,sig_q45,inter_high50_low50,ci_lo_h50,ci_hi_h50,sig_h50,low_mse_delta,high_mse_delta
JPM,2021,479,-0.04909498689788849,-0.0672916759189835,-0.03122145950086018,True,-0.030841569222563606,-0.0483393267042217,-0.013887291536882968,True,0.01961788077260403,-0.029477106125284466
JPM,2022,479,-0.01987357086318503,-0.033873425090745285,-0.006584014973397407,True,-0.00488986136826902,-0.01926330913945105,0.009276708830210648,False,0.021878269563758917,0.002004698700573886
JPM,2023,479,-0.06945513592523016,-0.09641663157380165,-0.04401079340220327,True,-0.05630610393384553,-0.08230282917749421,-0.030797116596761473,True,0.019475972531962444,-0.04997916339326771
XOM,2021,479,-0.009814662954230306,-0.0163313654850906,-0.003406765567897705,True,-0.008721662421915952,-0.014534100333868958,-0.00278354707603233,True,0.01872262469775338,0.008907961743523074
XOM,2022,479,0.07283499323076761,0.051813700066183375,0.09466758333605307,True,0.06229302925310087,0.042880289088737644,0.08220009513289238,True,-0.06142131668801034,0.011413676542757276
XOM,2023,479,0.03078724160979343,0.01889772524166982,0.0429753214383964,True,0.025932771352720953,0.014993403772086685,0.03737426230221019,True,-0.01839533086335284,0.01239191074644059
WMT,2021,479,0.05313112799270172,0.02877302638678408,0.07889629710329452,True,0.047673126210455094,0.02544205333658877,0.07011942166639223,True,-0.027036177141616585,0.026094950851085135
WMT,2022,479,0.019647400532983812,0.002814740009527397,0.036824554460474244,True,0.020213995107541072,0.0053681634988297635,0.03491957649277081,True,0.0015025098492751747,0.021149910382258986
WMT,2023,479,0.04746008787060808,0.031461036368743076,0.06420578183978602,True,0.039730473622395096,0.026106402667083348,0.05407813071872756,True,-0.01631070788897688,0.031149379981631198
N225,2021,465,0.025138874762817225,0.011740301794741542,0.03840022914855952,True,0.02180253013526937,0.009805767387044544,0.033299635323861466,True,0.010588075497979821,0.035726950260797044
N225,2022,465,0.028418645601480632,0.014436548509299131,0.042351820048300653,True,0.02735775645797798,0.015776465075927178,0.03939474155630653,True,0.024053990988534998,0.05247263659001563
N225,2023,465,0.05313788378376238,0.027026934604679146,0.08044518200809568,True,0.03873044798318301,0.01563300790655897,0.06215202485584352,True,-0.03947187091171951,0.013666012872042868
GDAXI,2021,484,0.039805938156834614,0.019453202305933646,0.05983868390307561,True,0.0328816243289178,0.016328275216208006,0.048648761253253014,True,-0.02859276452462603,0.011213173632208586
GDAXI,2022,484,0.050232600739599204,0.019718626487118144,0.08193995951205799,True,0.03897029057582834,0.013169895836211795,0.06396043793296509,True,-0.04595945868986705,0.004273142049732153
GDAXI,2023,484,0.05218331396074971,0.025575063478598403,0.07928880887250114,True,0.04191607356456575,0.020520006201917688,0.063089262553405,True,-0.042947838428302576,0.009235475532447135
HSI,2021,468,0.0017969020356664762,-0.004390554922328067,0.007684942539030929,False,0.003066640055180776,-0.0022536313626773485,0.008458599461688332,False,0.004566491235202823,0.006363393270869299
HSI,2022,468,0.005300407420336767,-0.003200017288827674,0.01377563052480531,False,0.007144828461489942,-0.000560459443392416,0.014555116098211975,False,0.001060362068123748,0.006360769488460515
