asset,seed,state,n,MSE_L,MSE_N,dMSE,ci_lo,ci_hi,sig,win_rate_N,MSPE_L_price,MSPE_N_price,P95_sqerr_L,P95_sqerr_N,params_L,params_N
BTCUSD,2022,kmeans_0,116,0.27768129110336304,0.48705151677131653,0.2093702256679535,0.1661628782749176,0.2528526782989502,sig,0.1724137931034483,0.010239464717274126,0.01665684522608672,1.0160284042358398,1.5562818050384521,9240,9431
BTCUSD,2022,kmeans_2,591,0.2511128783226013,0.491955429315567,0.2408425509929657,0.21546629071235657,0.2670953571796417,sig,0.15397631133671744,0.01050180181234383,0.01791505281932499,0.8968251943588257,1.7868971824645996,9240,9431
BTCUSD,2023,acf1_hi,286,0.2805384397506714,0.38461825251579285,0.10407984256744385,0.0808897465467453,0.12709327042102814,sig,0.2762237762237762,0.00985879631551583,0.013198054570296094,1.202564001083374,1.7245564460754395,9240,9431
BTCUSD,2023,acf1_lo,421,0.25065532326698303,0.37761372327804565,0.12695838510990143,0.10857496410608292,0.14526645839214325,sig,0.2589073634204275,0.011168671915486216,0.014604901513684477,0.9124484062194824,1.4022064208984375,9240,9431
BTCUSD,2023,sign_persistence_hi,182,0.2854565978050232,0.40407034754753113,0.11861371248960495,0.09615866094827652,0.1421327441930771,sig,0.29120879120879123,0.013886043121517776,0.01795429192524181,0.9657757878303528,1.1977664232254028,9240,9431
BTCUSD,2023,sign_persistence_lo,525,0.25487008690834045,0.37225794792175293,0.11738783866167068,0.09994272887706757,0.13602256774902344,sig,0.2571428571428571,0.009513079570554268,0.012677382883755882,0.9210947155952454,1.5724703073501587,9240,9431
BTCUSD,2023,jump_ratio_hi,21,0.5093729496002197,0.8520020842552185,0.3426292836666107,0.3135465979576111,0.3710201382637024,sig,0.0,0.010095541534115982,0.016952111478349585,0.6402323842048645,1.0717072486877441,9240,9431
BTCUSD,2023,jump_ratio_lo,686,0.25519394874572754,0.36601191759109497,0.11081792414188385,0.09677764773368835,0.12566016614437103,sig,0.27405247813411077,0.010655423105598819,0.013946520121458464,0.9650418758392334,1.490290641784668,9240,9431
BTCUSD,2023,rv_rel_hi,362,0.2840350270271301,0.3934386968612671,0.10940363258123398,0.08839022368192673,0.13213320076465607,sig,0.24861878453038674,0.011940882229650908,0.01575891650815406,0.911015510559082,1.5411157608032227,9240,9431
BTCUSD,2023,rv_rel_lo,325,0.25373750925064087,0.3881380558013916,0.13440056145191193,0.11477924138307571,0.15442316234111786,sig,0.24615384615384617,0.009621764833683245,0.012789736119115666,1.0280801057815552,1.2817755937576294,9240,9431
BTCUSD,2023,structure_strong,284,0.2692185938358307,0.37478408217430115,0.10556546598672867,0.08414378762245178,0.12809915840625763,sig,0.30633802816901406,0.013559517912364488,0.016859642473669858,0.9910696148872375,1.4415397644042969,9240,9431
BTCUSD,2023,structure_weak,423,0.2583966851234436,0.3842494487762451,0.1258527636528015,0.10627203434705734,0.14485809206962585,sig,0.23877068557919623,0.008677833417365746,0.012139878680481343,0.8684771060943604,1.4931720495224,9240,9431
BTCUSD,2023,kmeans_0,116,0.27730777859687805,0.46406301856040955,0.1867552399635315,0.15076622366905212,0.22510002553462982,sig,0.15517241379310345,0.010191915183824231,0.016289630239712576,0.9786028265953064,1.5363490581512451,9240,9431
BTCUSD,2023,kmeans_2,591,0.2598852515220642,0.36403533816337585,0.10415009409189224,0.08881072700023651,0.12019288539886475,sig,0.2876480541455161,0.010726505010716775,0.01359341799756208,0.9257160425186157,1.4623823165893555,9240,9431
ETHUSD,2021,acf1_hi,390,0.16935068368911743,0.18928265571594238,0.019931990653276443,0.0134333660826087,0.02665269747376442,sig,0.45897435897435895,0.020028417714699265,0.02127335399108316,0.5731432437896729,0.7160051465034485,9240,9431
ETHUSD,2021,acf1_lo,182,0.12803055346012115,0.14051571488380432,0.012485163286328316,0.0063325101509690285,0.018821120262145996,sig,0.42857142857142855,0.02886055041402326,0.030860282566592134,0.37490302324295044,0.4622437059879303,9240,9431
